"Symbol","Date","Close","52Hi","MktCap","Delta ErnQ1","Delta RevQ1","RevQ1","ErnQ1","Zax","Ind","Delta ErnQ2","Delta ErnF1","Delta EarnF2","PE F1","PE Ind","P/S","ESP","Avg Vol","Short"
"FIS","2/6/18","94.23","96.67","31250","17.75","-3.11","2370","1.34","3","164","15.58","15.41","9.92","19.34","19.8","3.39","-0.73","1275260","1.92"
"FIT","2/28/18","6.13","8.40","1400","99.60","2.72","589.38","-0.00","3","84","37.78","-107.41","65.62","N/A","22.5","0.76","0.00","4637062","6.77"
"FITB","1/23/18","30.52","31.83","20930","-0.17","3.31","1580","0.48","3","32","16.67","39.70","-23.73","14.95","16.5","2.66","0.80","6294157","2.63"
"FLEX","1/25/18","18.41","19.12","9420","-11.18","6.15","6490","0.30","3","107","0.00","-6.15","28.78","16.60","14.7","0.4","0.00","1970343","3.95"
"FSLR","2/20/18","69.80","71.80","7090","-125.54","-9.72","433.75","-0.32","2","16","-114.67","-51.23","-40.96","47.31","8.5","2.39","-3.76","1869120","1.95"
"GE","1/24/18","18.15","31.83","152980","-36.59","-1.19","32689.999999999996","0.29","5","100","2.38","-28.54","-2.05","17.24","28.3","1.26","6.28","54855348","1.15"
"GFI","2/15/18","4.39","4.70","3120","N/A","N/A","N/A","N/A","2","57","N/A","N/A","N/A","31.57","N/A","N/A","0.00","4289525","0"
"GG","2/21/18","13.33","17.87","10770","-5.00","-0.73","891.47","0.11","3","57","-26.67","38.17","24.32","24.83","26.4","3.31","-7.90","6915510","1.24"
"GGP","1/29/18","23.58","26.21","22150","94.64","5.97","646.75","0.47","3","228","231.82","18.10","0.87","14.87","17.3","9.83","-0.46","5598913","4.7"
"GILD","2/6/18","74.66","86.27","97110","-37.33","-21.64","5740","1.69","3","160","-18.21","-24.70","-21.37","10.82","-8.8","3.52","-8.16","6958270","2.14"
"GIS","3/20/18","58.72","63.73","31900","5.03","2.15","3870","0.76","3","192","14.09","1.36","4.42","18.91","58.6","2.16","0.00","3882268","0.01"
"GLW","1/23/18","33.42","32.82","27640","-5.60","3.23","2630","0.47","3","107","-7.69","9.42","1.02","19.04","13.1","2.85","0.64","4110183","4.92"
"GM","2/6/18","42.82","46.76","57970","0.67","-21.14","34630","1.29","4","80","-12.75","2.15","-7.40","7.22","9.4","0.38","-1.06","9779353","2.76"
"GME","3/22/18","18.20","26.68","1860","-15.44","2.23","3110","2.01","3","21","-14.29","-11.99","-2.20","5.50","19.9","0.21","0.00","2471913","12.33"
"GNW","2/6/18","3.05","4.23","1680","172.22","-0.04","2160","0.20","3","96","-31.03","248.41","-9.09","3.80","13.6","0.18","0.00","4664154","4.8"
"GPRO","2/1/18","7.49","11.89","1140","47.41","-12.26","474.35","0.43","3","11","39.39","103.09","807.50","18.45","14.4","0.78","-4.09","3108340","5.24"
"GPS","2/22/18","33.17","35.24","12900","13.24","5.43","4670","0.58","3","53","3.47","3.96","3.77","16.13","24.4","0.85","0.43","3670178","0.72"
"GRMN","2/28/18","60.27","63.15","11150","2.74","1.36","872.46","0.75","3","229","10.58","2.47","2.11","20.11","27.5","3.65","0.00","1037476","13.06"
"GRPN","2/21/18","5.15","5.99","2970","24.29","-7.95","860.58","0.09","3","202","240.00","229.55","49.65","26.56","67.6","1.01","0.00","6564103","3.68"
"GS","1/17/18","253.29","262.14","96370","-0.03","-4.65","7790","5.08","3","38","8.30","17.15","9.07","12.28","24.8","2.98","0.54","2261513","2.23"
"HAL","1/22/18","50.50","58.78","38750","1058.33","38.60","5570","0.46","2","161","1055.55","5886.50","86.46","22.99","36.7","2.31","-0.72","6896939","3.11"
"HBAN","1/24/18","14.72","14.93","15610","7.50","3.11","1100","0.26","3","8","19.73","2.11","19.63","13.74","17.8","3.39","0.78","8093327","1.95"
"HD","2/20/18","189.01","191.49","212680","12.15","6.35","23620","1.62","3","40","10.41","14.28","12.60","25.51","18.4","2.21","0.77","4558690","2.9"
"HES","1/24/18","49.40","63.05","13560","-1.61","-8.03","1270","-1.03","3","42","0.93","6.48","23.88","N/A","58","2.74","-6.86","3645847","5.92"
"HIG","2/1/18","54.83","58.61","19700","-17.90","N/A","N/A","0.89","5","107","3.00","5.56","19.53","12.96","24.3","1.06","-9.78","2070704","2.28"
"HL","2/22/18","4.09","6.78","1520","-44.44","-2.26","160.53","0.02","1","169","-25.00","-68.75","225.00","26.09","36.7","2.91","0.00","4074975","2.12"
"HLF","2/22/18","68.83","79.64","6110","-4.00","4.23","1090","0.96","3","75","-3.23","-6.19","14.29","13.29","7.9","1.38","0.00","820064","12"
"HOG","1/30/18","50.04","63.40","8420","76.77","10.82","1030","0.48","2","80","18.29","-10.46","7.92","14.07","9.4","1.82","6.86","1489363","10.01"
"HON","1/26/18","152.44","156.70","115970","5.81","7.87","10770","1.84","3","100","9.04","7.58","9.10","19.84","28.3","2.93","0.02","2664305","3.71"
"HPQ","2/28/18","21.37","22.68","34120","9.47","5.49","13380","0.42","3","59","6.88","8.68","5.73","11.89","3.6","0.67","0.96","7658277","3.72"
"HSBC","2/20/18","52.15","52.44","203580","N/A","37.79","12380","N/A","3","106","N/A","195.19","12.87","14.86","15.4","4.34","0.00","1713351","2.43"
"HSY","2/2/18","111.64","116.49","23880","-9.06","0.29","1980","1.06","2","42","7.63","8.80","8.72","21.49","25.3","3.13","-1.32","699182","3.08"
"IBM","1/18/18","158.49","182.79","142570","3.09","0.78","21940","5.17","4","89","-10.42","1.39","0.89","11.10","72","1.82","0.23","3884392","2.71"
"IBN","1/30/18","9.85","9.93","30630","N/A","N/A","N/A","N/A","3","106","N/A","2.22","50.00","21.46","15.4","2.86","0.00","4011711","0.5"
"INTC","1/25/18","45.26","47.64","202460","8.96","-0.42","16300","0.86","3","4","10.61","19.51","1.00","14.27","23.4","3.53","-0.09","24892084","4.88"
"IP","2/1/18","60.56","59.84","22790","63.25","10.43","5940","1.19","3","165","66.67","4.73","24.31","13.70","10.6","1.09","0.28","1815576","0"
"JCI","2/7/18","38.96","44.70","34620","-2.20","1.40","7190","0.52","5","107","7.50","7.79","9.01","13.64","18.2","1.17","2.25","4755284","4.32"
"JCP","2/23/18","3.70","8.80","906.67","-35.00","-0.60","3940","0.42","3","21","-422.22","1.14","74.16","43.26","17.7","0.09","4.57","14671570","6.91"
"JD","3/1/18","43.51","48.99","57830","63.33","41.29","16329.999999999998","0.10","3","202","43.33","433.34","59.89","46.14","67.6","1.26","-18.37","13197434","2.69"
